epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9143796563148499,0.2681296467781067,0.01,0.9800000190734863,0.061908572912216187
1,0.9605542421340942,0.1241457387804985,0.01,0.9810000061988831,0.06067082658410072
2,0.9685232043266296,0.10003922879695892,0.01,0.9854999780654907,0.0427519716322422
3,0.9726856350898743,0.08671753853559494,0.01,0.9850000143051147,0.049369122833013535
4,0.9754353761672974,0.0797056034207344,0.01,0.9829999804496765,0.04181941971182823
5,0.9770421385765076,0.07279493659734726,0.01,0.9890000224113464,0.038691580295562744
6,0.9791448712348938,0.06876605749130249,0.01,0.9909999966621399,0.03392767533659935
7,0.9801046252250671,0.06423936039209366,0.01,0.9904999732971191,0.03359966352581978
8,0.9811182618141174,0.06114254146814346,0.01,0.987500011920929,0.045335374772548676
9,0.9807623624801636,0.06070910021662712,0.01,0.987500011920929,0.03662059083580971
10,0.9819485545158386,0.05754145607352257,0.01,0.9884999990463257,0.0293942391872406
11,0.9828112125396729,0.05424927547574043,0.01,0.9929999709129333,0.02780468761920929
12,0.9837493896484375,0.05187508836388588,0.01,0.9909999966621399,0.0328843854367733
13,0.9841915369033813,0.05013323947787285,0.01,0.9915000200271606,0.026858024299144745
14,0.9840513467788696,0.050425972789525986,0.01,0.9900000095367432,0.027515646070241928
15,0.9848600625991821,0.04789991304278374,0.01,0.9904999732971191,0.024570507928729057
16,0.9845473766326904,0.04897097870707512,0.01,0.9919999837875366,0.024310801178216934
17,0.9851188659667969,0.0475737527012825,0.01,0.9909999966621399,0.028411442413926125
18,0.985539436340332,0.045343030244112015,0.01,0.9934999942779541,0.023943111300468445
19,0.9854100346565247,0.04418370500206947,0.01,0.9900000095367432,0.02712995931506157
20,0.9852051734924316,0.04644632712006569,0.01,0.9929999709129333,0.023366732522845268
21,0.9854747653007507,0.04427928850054741,0.01,0.9925000071525574,0.028862351551651955
22,0.9865530729293823,0.04235558956861496,0.01,0.9915000200271606,0.027618959546089172
23,0.9862942695617676,0.04191083833575249,0.01,0.9894999861717224,0.03719545155763626
24,0.9869736433029175,0.041068628430366516,0.01,0.9929999709129333,0.02750943973660469
25,0.9874588847160339,0.03864187002182007,0.01,0.9904999732971191,0.033090103417634964
26,0.9874588847160339,0.040350597351789474,0.01,0.9900000095367432,0.03606141358613968
27,0.9875667095184326,0.03973230719566345,0.01,0.9909999966621399,0.027475690469145775
28,0.9900253415107727,0.031124139204621315,0.0009999999,0.9909999966621399,0.028004499152302742
29,0.99092036485672,0.027753714472055435,0.0009999999,0.9915000200271606,0.024189036339521408
